Tesla;TSLA;758.80;"
							-0.14%
					";+3.1%;+10.1%
Apple;AAPL;145.85;"
							-0.18%
					";-2.0%;-0.2%
Intel;INTC;54.06;"
							-0.31%
					";+0.4%;+3.6%
Pfizer;PFE;43.78;"
							-0.36%
					";-3.9%;-11.0%
AT&T;T;27.53;"
							-0.07%
					";+1.3%;-1.0%
Virgin Galactic;SPCE;26.25;"
							-0.61%
					";+4.3%;+4.0%
Boeing;BA;212.83;"
							-0.31%
					";+1.2%;-2.8%
Facebook;FB;363.30;"
							-0.32%
					";-4.0%;+2.3%
Amazon;AMZN;3457.00;"
							-0.14%
					";-0.4%;+8.0%
Microsoft;MSFT;299.60;"
							-0.23%
					";+1.4%;+3.2%
Google Alphabet;GOOG;2825.01;"
							-0.15%
					";-0.5%;+3.5%
Macy's;M;21.93;"
							0.00%
					";+5.9%;+21.0%
Biogen;BIIB;301.00;"
							+0.26%
					";+0.4%;-12.0%
NVIDIA;NVDA;219.12;"
							0.00%
					";-2.5%;+15.0%
Coca Cola;KO;54.49;"
							+0.09%
					";-2.0%;-3.6%
AMD;AMD;103.61;"
							-0.28%
					";-1.4%;+0.3%
Exxon Mobil;XOM;55.11;"
							-0.11%
					";+2.1%;+1.4%
Carnival;CCL;23.51;"
							-0.17%
					";+3.3%;+4.6%
Goldman Sachs;GS;392.03;"
							+0.08%
					";-2.8%;-1.7%
Vertex;VRTX;188.00;"
							-0.24%
					";-0.3%;-3.5%
JPMorgan Chase;JPM;157.49;"
							-0.41%
					";+0.1%;+1.3%
Citigroup;C;69.90;"
							-0.14%
					";+0.5%;-1.7%
Bank of America;BAC;40.49;"
							-0.12%
					";+0.6%;-0.7%
Uber;UBER;39.70;"
							-0.15%
					";-0.5%;-2.8%
General Electric;GE;100.30;"
							-0.33%
					";-1.6%;-1.1%
Altria Group;MO;48.73;"
							+0.37%
					";-3.7%;+1.1%
Moderna;MRNA;426.85;"
							-0.87%
					";-4.9%;+7.2%
Chevron;CVX;96.84;"
							+0.10%
					";+0.8%;+0.3%
Netflix;NFLX;589.15;"
							-0.14%
					";-1.6%;+12.9%
twitter;TWTR;62.46;"
							-0.06%
					";+1.4%;+0.6%
Visa;V;221.40;"
							-0.22%
					";-1.6%;-4.4%
Kraft Heinz Company;KHC;36.31;"
							-0.74%
					";-0.1%;-1.7%
General Motors;GM;51.16;"
							-0.06%
					";+3.4%;+0.6%
Walt Disney;DIS;183.02;"
							-0.27%
					";-0.5%;+4.7%
Johnson & Johnson;JNJ;165.00;"
							+0.10%
					";-1.2%;-6.9%
Ford Motor Company;F;13.47;"
							-0.81%
					";+6.2%;+3.6%
Wells Fargo;WFC;46.33;"
							-0.37%
					";+4.5%;-3.3%
IBM;IBM;135.22;"
							-0.15%
					";-1.3%;-3.1%
Morgan Stanley;MS;101.40;"
							-0.55%
					";-2.1%;+0.1%
Nasdaq;NDAQ;193.00;"
							-0.01%
					";-1.6%;+3.3%
Delta Air Lines;DAL;40.03;"
							-0.22%
					";+1.7%;+3.5%
Merck & Co;MRK;71.40;"
							-0.39%
					";-2.8%;-8.2%
Regeneron;REGN;654.70;"
							+0.42%
					";+0.4%;+3.0%
Cisco;CSCO;56.53;"
							-0.58%
					";-2.4%;+2.7%
Philip Morris International;PM;101.76;"
							-0.04%
					";-1.8%;+0.8%
American Airlines;AAL;19.65;"
							-0.46%
					";+3.6%;+2.6%
Occidental Petroleum;OXY;26.90;"
							0.00%
					";+7.5%;+14.7%
Mcdonalds;MCD;242.68;"
							+0.08%
					";+1.4%;+2.0%
Simon Property;SPG;131.27;"
							+0.04%
					";+2.6%;+2.6%
Micron Technology;MU;74.06;"
							-0.39%
					";+0.7%;+4.9%
Berkshire Hathaway;BRK.B;276.26;"
							+0.02%
					";-0.4%;-3.5%
AbbVie;ABBV;107.30;"
							-0.51%
					";+0.6%;-8.6%
Alcoa;AA;48.71;"
							-0.49%
					";-1.6%;+17.4%
QUALCOMM;QCOM;133.75;"
							+0.16%
					";-6.2%;-5.8%
Verizon;VZ;54.36;"
							+0.20%
					";+0.2%;-2.0%
Nike;NKE;156.20;"
							-0.12%
					";-4.5%;-7.4%
Energy Transfer LP;ET;9.11;"
							+0.33%
					";-1.8%;+0.3%
Mastercard;MA;342.75;"
							-0.20%
					";-1.4%;-5.0%
Activision Blizzard;ATVI;79.45;"
							-0.19%
					";-0.2%;-4.1%
Zoom;ZM;286.67;"
							-0.29%
					";-4.9%;-15.9%
Airbnb;ABNB;166.23;"
							-0.02%
					";+0.6%;+13.3%
Lockheed Martin;LMT;341.49;"
							+0.14%
					";-1.3%;-4.3%
BlackRock;BLK;875.00;"
							-0.27%
					";-4.5%;-3.1%
NextEra Energy;NEE;81.61;"
							-0.18%
					";-4.0%;-3.4%
PayPal Holdings;PYPL;275.58;"
							-0.27%
					";-3.1%;+2.6%
Bristol-Myers;BMY;61.33;"
							-0.05%
					";-2.9%;-9.7%
Beyond Meat;BYND;112.36;"
							-0.48%
					";-0.4%;-5.4%
Quidel;QDEL;152.49;"
							-0.54%
					";+2.2%;+29.1%
Walmart;WMT;144.92;"
							+0.01%
					";-0.6%;-2.8%
3M Company;MMM;181.02;"
							-0.22%
					";-2.0%;-7.8%
Gilead Sciences;GILD;71.33;"
							-0.49%
					";+0.4%;-0.8%
Robinhood Markets;HOOD;42.25;"
							-0.59%
					";+2.6%;-15.3%
American Express;AXP;163.52;"
							-0.04%
					";+3.2%;+0.9%
Eli Lilly and Company;LLY;229.90;"
							-0.26%
					";-4.0%;-14.3%
Applied Materials;AMAT;140.17;"
							-0.59%
					";+2.4%;+10.2%
Realty Income;O;67.83;"
							+0.19%
					";-0.2%;-5.4%
AstraZeneca PLC;AZN;55.40;"
							-0.31%
					";-1.5%;-6.9%
Royal Caribbean Cruises;RCL;83.78;"
							-0.08%
					";+2.8%;+8.5%
Walgreens Boots Alliance;WBA;49.38;"
							-0.50%
					";-0.3%;+0.7%
Oracle;ORCL;86.49;"
							-0.02%
					";-3.5%;-2.7%
ConocoPhillips;COP;58.80;"
							-0.25%
					";+5.5%;+9.9%
Freeport-McMoRan Inc.;FCX;32.97;"
							-0.30%
					";-6.9%;-2.7%
UnitedHealth Group;UNH;419.00;"
							-0.15%
					";+3.7%;+0.3%
Adobe;ADBE;654.62;"
							-0.01%
					";-0.6%;+4.4%
Halliburton;HAL;20.35;"
							+0.35%
					";+4.3%;+7.7%
PepsiCo;PEP;154.25;"
							+0.23%
					";-0.8%;-1.4%
eBay;EBAY;73.95;"
							-0.07%
					";+2.0%;+1.6%
LYFT;LYFT;52.00;"
							-0.21%
					";+4.0%;+4.9%
Salesforce;CRM;260.00;"
							-0.15%
					";+1.2%;+3.5%
Coinbase Global;COIN;244.79;"
							+0.04%
					";-1.3%;+0.2%
Procter & Gamble;PG;144.04;"
							-0.41%
					";-0.1%;+0.6%
Abbott;ABT;126.50;"
							-0.35%
					";-1.7%;+2.1%
Iron Mountain;IRM;44.95;"
							+0.20%
					";-4.4%;-0.6%
Caterpillar;CAT;200.00;"
							+0.11%
					";-2.4%;-4.7%
FedEx;FDX;255.67;"
							+0.21%
					";-0.7%;-6.2%
SL Green Realty;SLG;68.40;"
							+0.01%
					";+1.5%;-4.3%
Broadcom;AVGO;505.00;"
							-0.21%
					";+1.3%;+7.8%
The Gap;GPS;24.36;"
							-0.08%
					";+2.1%;-8.6%
United Airlines;UAL;44.50;"
							-0.11%
					";+0.4%;-1.2%
ONEOK;OKE;55.05;"
							-0.38%
					";+5.0%;+9.0%
Macerich;MAC;17.35;"
							-0.23%
					";+2.5%;+12.1%
PPL;PPL;28.76;"
							+0.21%
					";-3.1%;-1.2%
Valero Energy;VLO;65.40;"
							-0.38%
					";+3.1%;+5.0%
Nucor Corporation;NUE;104.90;"
							-0.10%
					";-6.5%;-13.2%
DuPont;DD;68.62;"
							-0.46%
					";-2.7%;-7.1%
Baker Hughes;BKR;23.78;"
							-0.63%
					";-0.3%;+12.4%
Honeywell;HON;218.98;"
							+0.15%
					";-1.6%;-4.1%
Tyson Foods;TSN;76.46;"
							+0.76%
					";+2.2%;-4.5%
Home Depot;HD;334.23;"
							-0.47%
					";+0.7%;+3.9%
Cummins;CMI;229.00;"
							+0.44%
					";-2.0%;-1.9%
Invesco;IVZ;26.08;"
							-0.99%
					";+5.8%;+8.3%
MicroStrategy;MSTR;609.50;"
							-0.97%
					";-1.0%;-6.8%
Electronic Arts;EA;133.61;"
							-0.26%
					";-8.0%;-4.6%
Square;SQ;254.66;"
							-0.44%
					";+2.8%;-1.9%
Arthur J. Gallagher;AJG;148.39;"
							-0.11%
					";+2.4%;+4.5%
Moody's Corporation;MCO;370.00;"
							-0.06%
					";-3.4%;-1.3%
Raytheon;RTX;82.51;"
							-1.39%
					";-0.8%;-3.5%
Lam Research Corporation;LRCX;608.90;"
							-0.02%
					";+1.8%;+6.9%
The Bank of New York Mellon;BK;51.86;"
							+1.29%
					";-0.1%;-3.2%
Estee Lauder;EL;319.88;"
							+0.16%
					";-4.8%;-0.3%
Coty;COTY;8.35;"
							+0.12%
					";+1.2%;+4.9%
Steel Dynamics;STLD;61.90;"
							-0.13%
					";-5.8%;-10.6%
Dominion Energy;D;74.40;"
							+0.42%
					";-3.7%;-4.6%
Consolidated Edison;ED;73.07;"
							+0.11%
					";-2.2%;-4.4%
Hasbro;HAS;97.53;"
							-0.04%
					";-0.5%;+1.6%
HCA Healthcare;HCA;258.74;"
							+0.06%
					";+0.9%;+6.3%
Southwest Airlines;LUV;49.16;"
							+0.12%
					";+2.6%;+1.6%
