Frequency: Weekly, Ending Saturday;
observation_date;WEI
05.01.2008;1.4
12.01.2008;1.43
19.01.2008;1.38
26.01.2008;0.95
02.02.2008;0.71
09.02.2008;0.77
16.02.2008;1.16
23.02.2008;0.89
01.03.2008;0.93
08.03.2008;0.51
15.03.2008;0.65
22.03.2008;0.72
29.03.2008;0.95
05.04.2008;1.04
12.04.2008;0.83
19.04.2008;0.97
26.04.2008;0.45
03.05.2008;0.47
10.05.2008;0.51
17.05.2008;0.44
24.05.2008;0.4
31.05.2008;0.4
07.06.2008;0.5
14.06.2008;0.33
21.06.2008;0.13
28.06.2008;0.5
05.07.2008;0.85
12.07.2008;0.29
19.07.2008;0.1
26.07.2008;0.15
02.08.2008;0.24
09.08.2008;0.08
16.08.2008;-0.04
23.08.2008;0
30.08.2008;0.06
06.09.2008;-0.04
13.09.2008;-0.38
20.09.2008;-0.75
27.09.2008;-0.86
04.10.2008;-0.88
11.10.2008;-0.97
18.10.2008;-0.93
25.10.2008;-1
01.11.2008;-1.09
08.11.2008;-1.68
15.11.2008;-2.11
22.11.2008;-1.25
29.11.2008;-2.54
06.12.2008;-2.53
13.12.2008;-2.39
20.12.2008;-2.94
27.12.2008;-2.83
03.01.2009;-3.14
10.01.2009;-3.25
17.01.2009;-3.27
24.01.2009;-2.93
31.01.2009;-3.26
07.02.2009;-3.22
14.02.2009;-3.58
21.02.2009;-3.68
28.02.2009;-3.9
07.03.2009;-3.54
14.03.2009;-3.48
21.03.2009;-3.21
28.03.2009;-3.59
04.04.2009;-3.38
11.04.2009;-3.41
18.04.2009;-3.71
25.04.2009;-3.39
02.05.2009;-3.34
09.05.2009;-3.51
16.05.2009;-3.43
23.05.2009;-3.32
30.05.2009;-3.46
06.06.2009;-3.72
13.06.2009;-3.66
20.06.2009;-3.47
27.06.2009;-3.66
04.07.2009;-3.26
11.07.2009;-3.53
18.07.2009;-3.34
25.07.2009;-3.38
01.08.2009;-3.08
08.08.2009;-3.02
15.08.2009;-2.72
22.08.2009;-2.64
29.08.2009;-2.56
05.09.2009;-2.07
12.09.2009;-2.24
19.09.2009;-1.67
26.09.2009;-1.58
03.10.2009;-1.31
10.10.2009;-1.05
17.10.2009;-0.94
24.10.2009;-0.72
31.10.2009;-0.4
07.11.2009;-0.04
14.11.2009;0.43
21.11.2009;0.77
28.11.2009;1.29
05.12.2009;1.02
12.12.2009;1.19
19.12.2009;2.1
26.12.2009;2.33
02.01.2010;1.81
09.01.2010;1.78
16.01.2010;1.93
23.01.2010;1.86
30.01.2010;2.22
06.02.2010;2.55
13.02.2010;2.52
20.02.2010;3.09
27.02.2010;3.36
06.03.2010;3.48
13.03.2010;3.46
20.03.2010;3.4
