"Дата	";Inventories ;INV|SAL;Sales
01.01.1992;808292;1.56;518135.8974
01.02.1992;809600;1.56;518974.359
01.03.1992;812725;1.53;531192.8105
01.04.1992;815453;1.53;532975.817
01.05.1992;815016;1.52;536194.7368
01.06.1992;820447;1.52;539767.7632
01.07.1992;825098;1.51;546422.5166
01.08.1992;826136;1.53;539958.1699
01.09.1992;827513;1.51;548021.8543
01.10.1992;827914;1.52;544680.2632
01.11.1992;829839;1.51;549562.2517
01.12.1992;835800;1.51;553509.9338
01.01.1993;835983;1.5;557322
01.02.1993;838089;1.5;558726
01.03.1993;844806;1.52;555793.4211
01.04.1993;846782;1.51;560782.7815
01.05.1993;847279;1.49;568643.6242
01.06.1993;849135;1.5;566090
01.07.1993;849450;1.5;566300
01.08.1993;850877;1.5;567251.3333
01.09.1993;855018;1.5;570012
01.10.1993;855322;1.48;577920.2703
01.11.1993;859037;1.49;576534.8993
01.12.1993;863125;1.5;575416.6667
01.01.1994;863021;1.48;583122.2973
01.02.1994;867670;1.47;590251.7007
01.03.1994;868751;1.46;595034.9315
01.04.1994;871989;1.46;597252.7397
01.05.1994;882927;1.47;600630.6122
01.06.1994;888689;1.47;604550.3401
01.07.1994;894473;1.47;608485.034
01.08.1994;902148;1.46;617909.589
01.09.1994;907994;1.46;621913.6986
01.10.1994;913439;1.45;629957.931
01.11.1994;919492;1.46;629789.0411
01.12.1994;926395;1.44;643329.8611
01.01.1995;935639;1.45;645268.2759
01.02.1995;942713;1.46;645693.8356
01.03.1995;951538;1.48;642931.0811
01.04.1995;959239;1.48;648134.4595
01.05.1995;965634;1.49;648076.5101
01.06.1995;969558;1.48;655106.7568
01.07.1995;972934;1.49;652975.8389
01.08.1995;976097;1.48;659525
01.09.1995;980029;1.47;666686.3946
01.10.1995;984223;1.49;660552.349
01.11.1995;986767;1.48;666734.4595
01.12.1995;985385;1.45;679575.8621
01.01.1996;990730;1.5;660486.6667
01.02.1996;991277;1.5;660851.3333
01.03.1996;989146;1.46;677497.2603
01.04.1996;992111;1.46;679528.0822
01.05.1996;993761;1.45;685352.4138
01.06.1996;993127;1.44;689671.5278
01.07.1996;997782;1.45;688125.5172
01.08.1996;999951;1.45;689621.3793
01.09.1996;1000678;1.44;694915.2778
01.10.1996;1004389;1.44;697492.3611
01.11.1996;1004457;1.43;702417.4825
01.12.1996;1004646;1.43;702549.6503
01.01.1997;1007785;1.43;704744.7552
01.02.1997;1010716;1.41;716819.8582
01.03.1997;1010352;1.41;716561.7021
01.04.1997;1014611;1.41;719582.2695
01.05.1997;1018535;1.43;712262.2378
01.06.1997;1024680;1.42;721605.6338
01.07.1997;1026787;1.41;728217.7305
01.08.1997;1028019;1.41;729091.4894
01.09.1997;1034401;1.41;733617.7305
01.10.1997;1038283;1.42;731185.2113
01.11.1997;1040118;1.41;737672.3404
01.12.1997;1045495;1.42;736264.0845
01.01.1998;1048304;1.43;733079.7203
01.02.1998;1054991;1.43;737755.9441
01.03.1998;1060201;1.43;741399.3007
01.04.1998;1062401;1.44;737778.4722
01.05.1998;1061497;1.43;742305.5944
01.06.1998;1061985;1.44;737489.5833
01.07.1998;1064039;1.45;733820
01.08.1998;1066363;1.44;740529.8611
01.09.1998;1070815;1.44;743621.5278
01.10.1998;1073223;1.43;750505.5944
01.11.1998;1077587;1.43;753557.3427
01.12.1998;1077183;1.43;753274.8252
01.01.1999;1077080;1.42;758507.0423
01.02.1999;1082721;1.41;767887.234
01.03.1999;1090051;1.42;767641.5493
01.04.1999;1092918;1.42;769660.5634
01.05.1999;1095905;1.4;782789.2857
01.06.1999;1098782;1.4;784844.2857
01.07.1999;1104062;1.4;788615.7143
01.08.1999;1105895;1.39;795607.9137
01.09.1999;1112246;1.4;794461.4286
01.10.1999;1115766;1.39;802709.3525
01.11.1999;1128337;1.39;811753.2374
01.12.1999;1137260;1.39;818172.6619
01.01.2000;1140023;1.38;826103.6232
01.02.2000;1146435;1.4;818882.1429
01.03.2000;1150666;1.38;833815.942
01.04.2000;1157552;1.39;832771.223
01.05.2000;1163974;1.4;831410
01.06.2000;1174263;1.4;838759.2857
01.07.2000;1175374;1.41;833598.5816
01.08.2000;1183268;1.43;827460.1399
01.09.2000;1183463;1.4;845330.7143
01.10.2000;1189920;1.42;837971.831
01.11.2000;1197038;1.43;837089.5105
01.12.2000;1195894;1.42;842178.8732
01.01.2001;1197945;1.44;831906.25
01.02.2001;1191600;1.42;839154.9296
01.03.2001;1186068;1.44;823658.3333
01.04.2001;1184434;1.45;816851.0345
01.05.2001;1182109;1.43;826649.6503
01.06.2001;1173176;1.44;814705.5556
01.07.2001;1165045;1.43;814716.7832
01.08.2001;1163600;1.42;819436.6197
01.09.2001;1157242;1.44;803640.2778
01.10.2001;1139077;1.4;813626.4286
01.11.2001;1126312;1.39;810296.4029
01.12.2001;1118552;1.39;804713.6691
01.01.2002;1117388;1.39;803876.259
01.02.2002;1111859;1.38;805694.9275
01.03.2002;1108193;1.37;808900
01.04.2002;1106806;1.35;819856.2963
01.05.2002;1110725;1.35;822759.2593
01.06.2002;1112674;1.35;824202.963
01.07.2002;1119258;1.36;822983.8235
01.08.2002;1120777;1.34;836400.7463
01.09.2002;1128958;1.36;830116.1765
01.10.2002;1130630;1.36;831345.5882
01.11.2002;1132381;1.35;838800.7407
01.12.2002;1139523;1.37;831768.6131
01.01.2003;1139589;1.35;844140
01.02.2003;1148176;1.36;844247.0588
01.03.2003;1149009;1.35;851117.7778
01.04.2003;1150317;1.38;833563.0435
01.05.2003;1145246;1.37;835945.9854
01.06.2003;1142115;1.35;846011.1111
01.07.2003;1139701;1.33;856918.0451
01.08.2003;1132993;1.32;858328.0303
01.09.2003;1136935;1.31;867889.313
01.10.2003;1143104;1.32;865987.8788
01.11.2003;1145108;1.31;874128.2443
01.12.2003;1147795;1.31;876179.3893
01.01.2004;1148368;1.31;876616.7939
01.02.2004;1158745;1.31;884538.1679
01.03.2004;1168100;1.28;912578.125
01.04.2004;1176070;1.3;904669.2308
01.05.2004;1183161;1.29;917179.0698
01.06.2004;1195398;1.31;912517.5573
01.07.2004;1207045;1.31;921408.3969
01.08.2004;1217193;1.31;929154.9618
01.09.2004;1217197;1.3;936305.3846
01.10.2004;1225082;1.29;949675.969
01.11.2004;1238758;1.3;952890.7692
01.12.2004;1241744;1.28;970112.5
01.01.2005;1252532;1.29;970955.0388
01.02.2005;1261260;1.29;977720.9302
01.03.2005;1269206;1.3;976312.3077
01.04.2005;1274858;1.28;995982.8125
01.05.2005;1276324;1.29;989398.4496
01.06.2005;1275941;1.28;996828.9063
01.07.2005;1270245;1.26;1008130.952
01.08.2005;1274931;1.26;1011850
01.09.2005;1282691;1.25;1026152.8
01.10.2005;1291352;1.25;1033081.6
01.11.2005;1300830;1.26;1032404.762
01.12.2005;1314197;1.26;1043013.492
01.01.2006;1323230;1.25;1058584
01.02.2006;1327132;1.26;1053279.365
01.03.2006;1340265;1.26;1063702.381
01.04.2006;1348401;1.27;1061733.071
01.05.2006;1363378;1.27;1073525.984
01.06.2006;1375844;1.28;1074878.125
01.07.2006;1381004;1.29;1070545.736
01.08.2006;1391189;1.28;1086866.406
01.09.2006;1396513;1.31;1066040.458
01.10.2006;1401711;1.32;1061902.273
01.11.2006;1407327;1.31;1074295.42
01.12.2006;1408628;1.28;1100490.625
01.01.2007;1412675;1.31;1078377.863
01.02.2007;1419143;1.3;1091648.462
01.03.2007;1420803;1.28;1110002.344
01.04.2007;1428549;1.28;1116053.906
01.05.2007;1438170;1.28;1123570.313
01.06.2007;1445175;1.28;1129042.969
01.07.2007;1447105;1.29;1121786.822
01.08.2007;1452828;1.28;1135021.875
01.09.2007;1460482;1.28;1141001.563
01.10.2007;1466390;1.27;1154637.795
01.11.2007;1476688;1.26;1171974.603
01.12.2007;1488220;1.28;1162671.875
01.01.2008;1500222;1.27;1181277.165
01.02.2008;1507219;1.28;1177514.844
01.03.2008;1508016;1.28;1178137.5
01.04.2008;1514410;1.27;1192448.819
01.05.2008;1517240;1.26;1204158.73
01.06.2008;1526679;1.25;1221343.2
01.07.2008;1535633;1.26;1218756.349
01.08.2008;1538915;1.29;1192957.364
01.09.2008;1528390;1.31;1166709.924
01.10.2008;1514195;1.36;1113378.676
01.11.2008;1498163;1.45;1033215.862
01.12.2008;1465673;1.47;997056.4626
01.01.2009;1447949;1.48;978343.9189
01.02.2009;1426917;1.45;984080.6897
01.03.2009;1406013;1.47;956471.4286
01.04.2009;1387396;1.45;956824.8276
01.05.2009;1372164;1.43;959555.2448
01.06.2009;1354193;1.38;981299.2754
01.07.2009;1338290;1.36;984036.7647
01.08.2009;1321348;1.32;1001021.212
01.09.2009;1315208;1.32;996369.697
01.10.2009;1323452;1.31;1010268.702
01.11.2009;1333902;1.3;1026078.462
01.12.2009;1331350;1.28;1040117.188
01.01.2010;1333698;1.27;1050155.906
01.02.2010;1342389;1.28;1048741.406
01.03.2010;1348362;1.26;1070128.571
01.04.2010;1353226;1.25;1082580.8
01.05.2010;1357563;1.26;1077430.952
01.06.2010;1367322;1.27;1076631.496
01.07.2010;1379460;1.27;1086188.976
01.08.2010;1391292;1.28;1086946.875
01.09.2010;1406443;1.28;1098783.594
01.10.2010;1423136;1.27;1120579.528
01.11.2010;1434055;1.27;1129177.165
01.12.2010;1449974;1.27;1141711.811
01.01.2011;1461932;1.25;1169545.6
01.02.2011;1471715;1.26;1168027.778
01.03.2011;1488324;1.24;1200261.29
01.04.2011;1501912;1.25;1201529.6
01.05.2011;1519984;1.27;1196837.795
01.06.2011;1526411;1.27;1201898.425
01.07.2011;1533716;1.27;1207650.394
01.08.2011;1541269;1.26;1223229.365
01.09.2011;1535814;1.26;1218900
01.10.2011;1550040;1.26;1230190.476
01.11.2011;1557289;1.27;1226211.811
01.12.2011;1566651;1.26;1243373.81
01.01.2012;1572935;1.25;1258348
01.02.2012;1586568;1.25;1269254.4
01.03.2012;1592859;1.26;1264173.81
01.04.2012;1600089;1.26;1269911.905
01.05.2012;1605137;1.27;1263887.402
01.06.2012;1610687;1.3;1238990
01.07.2012;1623322;1.3;1248709.231
01.08.2012;1630594;1.29;1264026.357
01.09.2012;1643174;1.29;1273778.295
01.10.2012;1644342;1.29;1274683.721
01.11.2012;1650661;1.28;1289578.906
01.12.2012;1657094;1.29;1284568.992
01.01.2013;1669419;1.29;1294123.256
01.02.2013;1671490;1.27;1316133.858
01.03.2013;1671425;1.29;1295678.295
01.04.2013;1674541;1.3;1288108.462
01.05.2013;1671249;1.28;1305663.281
01.06.2013;1674094;1.29;1297747.287
01.07.2013;1678559;1.29;1301208.527
01.08.2013;1687424;1.29;1308080.62
01.09.2013;1696779;1.3;1305214.615
01.10.2013;1706855;1.3;1312965.385
01.11.2013;1717472;1.29;1331373.643
01.12.2013;1725624;1.3;1327403.077
01.01.2014;1732315;1.32;1312359.848
01.02.2014;1741348;1.31;1329273.282
01.03.2014;1749164;1.3;1345510.769
01.04.2014;1756059;1.3;1350814.615
01.05.2014;1764418;1.3;1357244.615
01.06.2014;1768111;1.31;1349703.053
01.07.2014;1773400;1.3;1364153.846
01.08.2014;1779498;1.31;1358395.42
01.09.2014;1781123;1.31;1359635.878
01.10.2014;1785269;1.32;1352476.515
01.11.2014;1791633;1.33;1347092.481
01.12.2014;1788427;1.35;1324760.741
01.01.2015;1788665;1.38;1296134.058
01.02.2015;1793932;1.39;1290598.561
01.03.2015;1796400;1.38;1301739.13
01.04.2015;1803271;1.38;1306718.116
01.05.2015;1807642;1.38;1309885.507
01.06.2015;1818645;1.38;1317858.696
01.07.2015;1819524;1.38;1318495.652
01.08.2015;1822201;1.39;1310935.971
01.09.2015;1825805;1.4;1304146.429
01.10.2015;1828516;1.41;1296819.858
01.11.2015;1825414;1.41;1294619.858
01.12.2015;1821369;1.42;1282654.225
01.01.2016;1821557;1.44;1264970.139
01.02.2016;1816633;1.43;1270372.727
01.03.2016;1822712;1.43;1274623.776
01.04.2016;1829149;1.43;1279125.175
01.05.2016;1834064;1.43;1282562.238
01.06.2016;1835170;1.41;1301539.007
01.07.2016;1836416;1.42;1293250.704
01.08.2016;1836718;1.42;1293463.38
01.09.2016;1839798;1.41;1304821.277
01.10.2016;1841204;1.41;1305818.44
01.11.2016;1853241;1.42;1305099.296
01.12.2016;1857671;1.39;1336453.957
01.01.2017;1861297;1.39;1339062.59
01.02.2017;1864614;1.39;1341448.921
01.03.2017;1868431;1.4;1334593.571
01.04.2017;1866888;1.39;1343084.892
01.05.2017;1871338;1.4;1336670
01.06.2017;1879628;1.4;1342591.429
01.07.2017;1885956;1.41;1337557.447
01.08.2017;1896298;1.4;1354498.571
01.09.2017;1900032;1.38;1376834.783
01.10.2017;1900648;1.37;1387334.307
01.11.2017;1909637;1.36;1404144.853
01.12.2017;1917240;1.35;1420177.778
01.01.2018;1925888;1.37;1405757.664
01.02.2018;1936651;1.37;1413613.869
01.03.2018;1935969;1.37;1413116.058
01.04.2018;1941460;1.36;1427544.118
01.05.2018;1944984;1.34;1451480.597
01.06.2018;1948470;1.35;1443311.111
01.07.2018;1958445;1.35;1450700
01.08.2018;1968971;1.36;1447772.794
01.09.2018;1977848;1.36;1454300
01.10.2018;1988172;1.36;1461891.176
01.11.2018;1987049;1.38;1439890.58
01.12.2018;2002600;1.4;1430428.571
01.01.2019;2016728;1.42;1420230.986
01.02.2019;2026013;1.42;1426769.718
01.03.2019;2028772;1.41;1438845.39
01.04.2019;2038832;1.42;1435797.183
01.05.2019;2045715;1.42;1440644.366
01.06.2019;2048974;1.42;1442939.437
01.07.2019;2053349;1.43;1435908.392
01.08.2019;2054491;1.43;1436706.993
01.09.2019;2053058;1.43;1435704.895
01.10.2019;2054014;1.43;1436373.427
01.11.2019;2051693;1.43;1434750.35
01.12.2019;2051229;1.43;1434425.874
01.01.2020;2043067;1.42;1438779.577
01.02.2020;2031377;1.42;1430547.183
01.03.2020;2025813;1.5;1350542
01.04.2020;1997639;1.73;1154704.624
01.05.2020;1950824;1.55;1258596.129
01.06.2020;1930480;1.41;1369134.752
01.07.2020;1930238;1.36;1419292.647
01.08.2020;1940739;1.35;1437584.444
01.09.2020;1957528;1.35;1450020.741
01.10.2020;1974960;1.35;1462933.333
01.11.2020;1986889;1.35;1471769.63
01.12.2020;1998894;1.35;1480662.222
01.01.2021;2009880;1.3;1546061.538
01.02.2021;2022434;1.33;1520627.068
01.03.2021;2027111;1.26;1608818.254
01.04.2021;2028401;1.25;1622720.8
01.05.2021;2040564;1.26;1619495.238
01.06.2021;2059156;1.25;1647324.8
01.07.2021;2070520;1.25;1656416
2021-08-01;2083911;1.26;1653897.619047619
