Финансы;Berkshire Hathaway B;JPMorgan;UnitedHealth;Bank of America;Mastercard;PayPal Holdings Inc;Wells Fargo&Co;Morgan Stanley;The Charles Schwab;Goldman Sachs;BlackRock;Citigroup;American Express;Сбербанк (прив.);Сбербанк;Square Inc;Anthem;U.S. Bancorp;Truist Financial Corp;CME Group;ICE;Coinbase Global;Fidelity National Info;Capital One Financial;MetLife;Progressive;AIG;Bank of NY Mellon;T Rowe;Prudential Financial;Aflac;State Street;Discover;Synchrony Financial;Hartford;Huntington Bancshares;KeyCorp;TCS Group Holding PLC;Citizens Financial Group Inc;Cincinnati Financial;Franklin Resources;Lincoln National;Assurant;ВТБ;People’s United;Московская биржа;Unum;МКБ;Росбанк;Росгосстрах
Финансы;Банк Авангард;eHealth;Банк Санкт-Петербург;Банк Уралсиб;Bank SanktPeterburg PAO;ОКС;Банк Приморье;Меридиан;ИК РУСС-ИНВЕСТ;РосДорБанк;Южурал-Аско;УК Арсагера;Банк Кузнецкий;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Услуги;Amazon.com;Alibaba ADR;Visa A;Home Depot;Walt Disney;Netflix;Comcast;Verizon;McDonald’s;AT&T;Lowe’s;T-Mobile US;Starbucks;CVS Health Corp;Target;JD.com Inc Adr;Charter Communications;Booking;ADP;TJX;Marriott Int;Dollar General;eBay;Cintas;Paychex;Sysco;Kroger;Las Vegas Sands;Best Buy;Etsy Inc;Dollar Tree;Expedia;ViacomCBS;Caesars;MGM;Live Nation Entertainment;Fox Corp B;DISH Network;AMC Entertainment;Bath Body Works;Discovery A;IPG;News Corp;Lumen Technologies;Penn National Gaming;Wynn Resorts;Macy’s Inc;Gap;Магнит;Ozon
Услуги;X5 Retail Group;Ralph Lauren A;Vipshop;МТС;Sarepta;Western Union;Fix Price Group;Mail.ru Group;Ростелеком;Ростелеком (прив.);Система;HeadHunter ADR;TAL Education;МГТС (прив.);МГТС;М.видео;Аптечная сеть 36;Детский мир;Лента ЛТД;Инград ;QIWI;Raven Russia;Quadra Generiruyushchaya Kompaniya PAO;Quadra Generiruyushchaya Kompaniya PAO Prf;Таттелеком;OKey DRC;ЦМТ;ЦМТ (прив.);Башинформсвязь;Башинформсвязь (прив.);Territorial’naya Generiruyushchaya Kompaniya No 14;Globaltruck Management PAO;Центральный Телеграф (прив.);Центральный телеграф;ММТсБ;RN Zapadnaya Sibir’ PAO;Наука-Связь;Медиахолдинг;Медиа группа Война и Мир;;;;;;;;;;;
Цикличные компании;Tesla;Nike;Toyota Motor ADR;Sony ADR;General Motors;Ford Motor;Illinois Tool Works;Nio A ADR;Xpeng;Li Auto;PACCAR;VF;WW Grainger;Genuine Parts;Tapestry;Under Armour C;BorgWarner;Hanesbrands;Goodyear Tire & Rubber Co;Leggett&Platt;Funko;AMO ZIL PAO;ПАЗ;СОЛЛЕРС;ЧКПЗ;НефАЗ ОАО;Нижнекамскшина;Роллман ГК;Роллман ГК (прив.);;;;;;;;;;;;;;;;;;;;;
Технологии;Alphabet C;NVIDIA;Taiwan Semiconductor;Adobe;Salesforce.com;Oracle;Cisco;Broadcom;Intel;Intuit;Texas Instruments;SAP ADR;AMD;Qualcomm;Applied Materials;S&P Global;Analog Devices;Snap;Zoom Video;Illumina;KLA-Tencor;Baidu;MSCI;Activision Blizzard;Palantir;Roper Technologies;Xilinx;Amphenol;Twitter Inc;Cognizant A;Electronic Arts;Copart;HP Inc;ANSYS;Enphase;Robinhood Markets;Bilibili;Яндекс;Pinterest;Paycom Soft;Skyworks;Fortive;Splunk;Cerner;Tyler Technologies;Teledyne Technologies;Take-Two;NetApp;Hewlett Packard;Qorvo Inc
Технологии;SolarEdge Technologies Inc;Western Digital;NortonLifeLock Inc;F5 Networks;Emerson;First Solar;Juniper;MicroStrategy;DXC Technology;Fastly;Vontier;Alteryx;Clover Health Investments;Contextlogic;Звезда;РБК ОАО;Левенгук OAO;ДЗРД (прив.);ДЗРД;Морион OAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Средства производства;Honeywell;Raytheon Technologies;Boeing;General Electric;Caterpillar;3M;Lockheed Martin;Lam Research;Ecolab;General Dynamics;Northrop Grumman;ОМЗ Прив;Carrier Global;Otis Worldwide;Fastenal;DR Horton;Lennar;Vulcan Materials;Dover;Ingersoll Rand;Jacobs Engineering;NVR;Howmet;PulteGroup;AO Smith;Группа Компаний ПИК;Ob’’yedinennaya Aviastroitel’naya Korporatsiya PAO;Virgin Galactic Holdings;ГК Самолет;Инвест-Девелопмент;ЧТПЗ ОАО;ТМК;КАМАЗ;Группа ЛСР;Иркут;Etalon Group;МОСТОТРЕСТ;РКК Энергия ОАО;Красный котельщик (прив.);Красный котельщик;Синарский трубный;Европейская электротехника;Наука НПО;ЧЗПСН-Профнастил;ТЗА ОАО;ГИТ ПАО;Мультисистема;Dzhitiel PAO;Плазмек OAO;NTSV Mil’ i Kamov AO Prf
Средства производства;Казанское моторостроительное;АО Лепсе;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Здравоохранение;J&J;Thermo Fisher Scientific;Eli Lilly;Abbott Labs;AbbVie;Novartis ADR;Bristol-Myers Squibb;Intuitive Surgical;Stryker;Gilead;Cigna;Edwards Lifesciences;Becton Dickinson;Regeneron Pharma;Boston Scientific;DexCom;Humana;Centene;DuPont De Nemours;Biogen;Baxter;Teladoc Inc;Pfizer;Hologic;Viatris;ABIOMED;Incyte;Organon Co;Quidel;ACADIA;Bluebird;Heron Therapeuti;MD Medical DRC;OraSure;G1 Therapeutics;Zynerba Pharma;Vertex;Institut Stvolovykh Kletok Cheloveka PAO;ФармСинтез;ДИОД OAO;;;;;;;;;;
